"url","post_date","date_count","time_of_fetching","header","content","image","video","likes","num_comments","num_shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid02Wrsrz26YHRVAfHEccbMGM1bxaSpdvn7prd746Fq918maxQCJ9PEG1FMMUyQRz86al&id=100075537623150&__cft__[0]=AZU-J71miQhknd3d-PgLubUboCrNLqqN338vVsL7FnHnOy8hKmSqkp_E-8rG5FoL8duubfayw5SiHUIrdOWjMV-mF0fePh_k_Q-02xvqOtZklnFaxueKrfY_agEFXhw_X02o9Cnu96AF8eVl6pxiMF6Nfq-sXQBFU4E5HAdFZJciNF8fZSezxxrjt7yvz5WwpKDvkPW8kw4W3Xr1TpqK78hv&__tn__=%2CO%2CP-R","2024-04-20","1","2024-05-06 11:23:29.401254","","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/434464146_443584681502782_7264249176012583342_n.jpg?stp=dst-jpg_s640x640&_nc_cat=104&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=8mhb_PKHRFkQ7kNvgFYA_tW&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfDTfHM0Wol75zLX1MG0Got8r_s487qQ2Atoo42AUmPr-w&oe=663E6D26","","1.8K","291 comments","355 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid02MnhjCL9HZWPWuFpueDo2kZTbCPhWNSAXWS3L3fVrgL2DVJxkz7rPHc32PBuPN4j9l&id=100075537623150&__cft__[0]=AZV4qKY3F1CFyR66K7jebes2I3EFzpQBALyNEk0tblmrRwQpLZfm6gTbbQJk-2mHg4_oSnfe3-XG_Xxjhab94Yy4ZN6WFfljkuD2bJnAkFK_Js1yr-O141tiu74f0qpfmV0q86MWD0VBncJXlqNjq9-NtKwdCZC594XRumPGjHH76Zjwzai_2vM2lKGywonfHMTEyiYsyjelMkuJKt_aUhg9&__tn__=%2CO%2CP-R","2024-04-20","2","2024-05-06 11:30:57.967183","OLTRE OGNI RAGIONEVOLE DUBBIO..W GLI AGRICOLTORI ITALIANI E CHE DIO CI BENEDICA!!","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/437557941_443485911512659_6346674159130655679_n.jpg?stp=dst-jpg_p526x296&_nc_cat=107&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=lcXyQ9n6YdwQ7kNvgEWRJX9&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfBuFN39U6py1_HNApTdUP14ftoJXiVp1AOwFwDabzWyYA&oe=663E6AB9","","2.4K","137 comments","596 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid0hiFp7ytn4zaKLV6mPreWerfi7MpJMGxuFZFnE13hwnhjRkc86cuVErRGTy44RVA8l&id=100075537623150&__cft__[0]=AZXlNMCHCAPk2d1rXy27JmT8G1alcaf8gRL_uHcoiZBrH0BuSRV_JWPeZZcGnG-hK9ZkGUyI342-lODqIEvUIkA4uLYL_7ZtNZaBXS6BUC_xjwCPuKGwgFX8TLjJVOBeO2w_r6zEHw89BhvmR4X5zW2OAsHrsDAmVs2mOBjWX6BEKHnbU7lzoczz3F1DYdYCwkkpIQT0_76vkHWnzkqcZKp_&__tn__=%2CO%2CP-R","2024-04-20","3","2024-05-06 11:32:37.584897","OLTRE OGNI RAGIONEVOLE DUBBIO, SE VUOI MANGIARE PRODOTTI BUONI E SANI, CONSUMA PRODOTTI ITALIANI!","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/438119386_443450081516242_2584846261176861997_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=GMwDHo4hRH4Q7kNvgE76ANa&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfCg57bfA7HfvbFbpEEiBaBmpejvBB_PBn3n0PXr60y2EQ&oe=663E8DDD","","1.3K","62 comments","124 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid0VsKnHCcNdLekvrm52xZLcKRy3dCFzvTv2Wi5hfcDPH5PXcNX1XjdNGyCG6kP9XmFl&id=100075537623150&__cft__[0]=AZX6Iu4I1TeooHDl5wAxQhV0h-culn7XfeIrrq8bwJUzVBaHSmYTT1H8BviU-LBhgPPybsb1MRU0T_8UnyPU2NMatGORdIn1goBq6jghzzfqLsNTP0NiEcjo_3a0eK3OUe761NYHg77KEBFvkfFZqBjgFTEi62lkXZVlNl6ZrJILdLxadVWC4ElIFACgf6K9e3yiBVCNZOMqNuncWb3x_Kto&__tn__=%2CO%2CP-R","2024-04-19","1","2024-05-06 11:38:39.430636","Politici corrotti arrestati a destra e sinistra, voti comprati, mafia..ecc ecc..cose che tutti i cittadini hanno sempre saputo..come si fa a credere a questa classe politica? Ora, cari Magistrati, girate il vostro sguardo anche verso la corruzione che pervade tutti i sindacati agricoli, non fermatevi!!","","","","742","82 comments","164 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid02KpUCDaL8KudRDyBAgHGj27HuuEYxKtn6wzkCiRD589GtRgUecLWUQp97gs7bkDPEl&id=100075537623150&__cft__[0]=AZV-RapHpeWIiOv-WDYuuXV1vYScTRi3aIYgsh0eNBA8aHquayNtqmNZr9VxFbfYJYRKASLqGjP5Xkd3yTgNuPzjNYx77SKZTpRQ2n9QnaLoX8Shrm4dgJ_WSAFU2Fr1J63PHBPvQf7OOCA9te7zQ8WCpVoBBQ9ssQSwSqGYQQqsY8PZimukkVQzp-UseQvG0T3p8slpU8lscrsbTHeh3gLE&__tn__=%2CO%2CP-R","2024-04-19","2","2024-05-06 11:41:17.205255","OLTRE OGNI RAGIONEVOLE DUBBIO... MANGIA ITALIANO!!","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/438906848_442948661566384_6423624351778982796_n.jpg?stp=dst-jpg_p526x296&_nc_cat=106&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_ctpy07o6vAQ7kNvgHixD8d&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfAt-m9mE0ohz25eboj8SwKEeGo1GFn7fGKtgVm6uCAnqQ&oe=663E7365","","3.2K","225 comments","380 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid0dKgpoZc83PHxvJySe724pHTc2SxXvfYxF91arwLx7UKBsC5iyra7NYxmgbTzMCJEl&id=100075537623150&__cft__[0]=AZUVkkLszvXUrUno63lBTvt2b4ipo0MTjUmuRGHPHfWbblJXLhVRmRq8zt-fRmMjG7Fat0cPo_U7Mj7ciXp6xxT4Zg35nI6KGzaLpqXqew-cvdalZwuiYcJ-4frSMxHj6IOEc_1ajF7CnDwLfI3GbJAOsaiqyru8Z5SyDmWoEcvfaTufhHUz5uSd5B-K-cyu1DfVQQ_S-Op00AR32zVS6pmu&__tn__=%2CO%2CP-R","2024-04-19","3","2024-05-06 11:45:33.693741","Proposte di legge indecenti che danneggiano ulteriormente la nostra agricoltura e favoriscono la produzione di ORGANISMI GENETICAMENTE MODIFICATI, volute da politici venduti e sindacalisti agricoli corrotti nonostante la grande mobilitazione nazionale che ha visto una reazione totale del mondo agricolo e non solo, ci stanno ""indicando cosa si deve fare""...noi non molliamo e che Dio ci Benedica!!","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/438899145_442911931570057_5501768636936964581_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Bdw3ULHqOroQ7kNvgG3Szvg&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfCN40qQ_rOAKX4jLiMPVn0VuhdpMUZnhN-1bX-hWLsDnw&oe=663E679A","","1K","111 comments","162 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid0L5YM5Xk62mt4m3iDZVK97bWi4KJxfjhgtnV4GwHBcoufRaDh5dnuN7fJdwox7zQxl&id=100075537623150&__cft__[0]=AZXPtjHzzhiOXEGJIplkeK6IBbGL264QX1hdFrhtMLmPskwDAyZ6bbaOV84caz6ria1BzMWZZ9hx1MbNGsfXtjm7qa_AAmZ-6Ex3-z9JBEjgHSDF21ue6V7jgwVrBzKYabkMZB7Tco70mmvBzDRUEXHLKM4E5mcFzV0OGf8sQ9freNCnkyo7FjJi6q2eHn6jlAaW2h6rWIeLK5bG-6gjlmir&__tn__=%2CO%2CP-R","2024-04-18","1","2024-05-06 11:47:02.193210","","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/438972759_442530161608234_8024834088781544775_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=JATIE8HwaiIQ7kNvgFHTK2f&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfAW-YlsfExfD3LSFh8lTzXORAWne7dEyIaeqLbetcYemA&oe=663E7A3A","","1.6K","199 comments","156 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid02gjgeMn3MkBcqDQRCGtE2JEWjXzmv78GrFB9hKCazB85zj9Mxpod7cmzXWeG5npm7l&id=100075537623150&__cft__[0]=AZWXcnp0BZuYBszjnw8spar0HEFjg5tvH4wVQkJ0R2l4bUCAIbejiXKTtpCe1Ed4fYjQ911tw8nVa7q4qY7CYNubgDrp-qwnQQZEbUplYcvjPALsGVOfYwzjIlqIr9zaGrNlVZj35B6l1L6vTia3_On4ScVqyn0Iln8dOg6s9BDR0aF3b1uKpmqlgTRVz6oD9TXf8VSKahI1osffe1lGTF2P&__tn__=%2CO%2CP-R","2024-04-18","2","2024-05-06 11:50:54.618362","","Le nostre radici sono figlie della Nostra Terra,  è li che risiede la nostra identita'...e che Dio ci Benedica!!","","","934","52 comments","111 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid02QACVaizeDURwXGYHbCi3v3MrQFx53TRLND5vS2v4oMKudNWJ9Am7Z9wgCtkNRzbdl&id=100075537623150&__cft__[0]=AZX3udhLGQHWLE5HIzWzHnpvqD5qLXOwc6yxSgYiINIeigCWK2ybDxxem6xeZhmmmaxfudnAE5A80LQeXV5TDBbrw62dmcDcQB1UwXqewwEL-DZ2L4PG_2xkOOuA-emxZNAx9SyfU8v-Yyo0xWEV9-gkiBqiZbsfCpoCrbdY_tDmLLLxppy4-if6QuJOisS8XflMJcIWXSxDLxLju1rn7VdG&__tn__=%2CO%2CP-R","2024-04-18","3","2024-05-06 11:51:46.124522","Ci vogliono far smettere di lavorare la nostra terra...noi non cederemo!!","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/438717377_442392658288651_1685936161254532410_n.jpg?stp=dst-jpg_p526x296&_nc_cat=109&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=QY-rWCGHLBYQ7kNvgHzkyEs&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfAV0OdFP5accRG0xk_WpGfe8pUsPYfM7BLPKv_mJr0IWA&oe=663E9273","","4K","379 comments","476 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid0bhL64TWqvruLyGGtzf2bFN2voJ2qYnkPNdze4DTjDfAV5iRTuYcf2f5b4srcRxAzl&id=100075537623150&__cft__[0]=AZWBwrgcflgcNF8KFFN6HMKWhokA05JjLNSuBibzDvQ-ZkwmaZwukakJO5E14qOE6XgrCYV9YlxIKU1o1qERPTwb2ZFLUsqpoIHyghIAUv-BWjGwNGemzeDaBLs-MTIzLF7uVdLbHHZn46IEH35vw-EgaN2dTVGlnUFntu_7CCzyg7ET15nXAEWDg-cmYUMKiwsXUQb8IxnSxdkZvUFGWCuj&__tn__=%2CO%2CP-R","2024-04-17","1","2024-05-06 11:54:45.013685","Non si molla, non ci si vende non si tradisce.. W gli agricoltori Italiani.. E che Dio li Benedica!","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/438092099_441797155014868_6207720260586407790_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=jG_UkMOf2egQ7kNvgGPYcdj&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfBIZhsg6PuZ3bF11mrpE53rMwgYWk27D49qkIPbp0XPQQ&oe=663E8419","","2.9K","292 comments","411 shares"
