,pred,count_2015,count_2016,count_2017,count_2018,count_2019,count_2020,count_2021,count_2022,count_2023
0,Residential,1944,1747,1462,1184,1612,1589,1629,1452,1462
1,HerbaceousVegetation,9685,7979,10672,10805,9442,10456,8154,8618,8538
2,PermanentCrop,34252,36756,35030,34621,35807,35703,37315,37433,36169
3,Forest,838,1563,1098,1421,1425,1161,1454,1410,1564
4,Industrial,1443,957,877,1214,1310,1636,1287,1495,1751
5,SeaLake,896,857,541,1083,759,988,758,861,1239
6,Pasture,287,462,156,756,526,579,339,306,619
7,Highway,1274,1402,1397,1602,1635,1576,1645,1628,1569
8,AnnualCrop,10362,9192,9763,8009,8228,7039,8241,7690,7760
9,River,324,390,309,610,561,578,483,412,634
