;pred;count_2015;count_2016;count_2017;count_2018;count_2019;count_2020;count_2021;count_2022;count_2023
0;HerbaceousVegetation;20267;24759;25010;21097;19558;22922;20360;16202;20676
1;River;441;302;247;504;519;427;397;445;593
2;Industrial;1658;1661;1231;1565;1617;1577;1480;1538;1815
3;Pasture;662;524;345;1465;848;967;692;696;880
4;PermanentCrop;44746;40550;41922;42348;45547;42574;44085;49378;43112
5;Residential;3355;1785;1642;1993;2494;2123;2484;2120;2530
6;Highway;1064;1185;1192;1408;1303;1345;1353;1221;1363
7;Forest;2885;2395;1871;3255;2669;2838;3064;3266;3733
8;AnnualCrop;2381;4087;4029;3100;2400;2542;3238;2105;2545
9;SeaLake;446;657;416;1170;950;590;752;934;658
10;Total Agriculture (HV+PC+P+AC);68056;69920;71306;68010;68353;69005;68375;68381;67213
