;pred;count_2015;count_2016;count_2017;count_2018;count_2019;count_2020;count_2021;count_2022;count_2023
0;Forest;16643;23614;16142;15399;11102;15149;15365;16148;15249
1;Pasture;8605;6975;7102;15879;15464;11636;10564;11526;14408
2;SeaLake;4212;969;1312;1754;1310;1401;1412;1343;2005
3;HerbaceousVegetation;10239;5639;11286;8334;14689;10393;10752;7876;9240
4;River;1980;2632;2113;3399;4683;3771;2770;3738;3341
5;Highway;1067;1363;1675;1586;1653;1386;1520;1416;1208
6;PermanentCrop;25217;26183;27769;21560;18932;25021;25644;26367;22648
7;Industrial;1257;1603;1375;1581;2195;1656;1758;1793;1806
8;Residential;1856;2392;1997;2061;2818;2118;2475;2671;2478
9;AnnualCrop;4725;4431;5030;4248;2955;3270;3541;2923;3418
10;Total Agriculture (HV+PC+P+AC);48786;43228;51187;50021;52040;50320;50501;48692;49714
