;pred;count_2015;count_2016;count_2017;count_2018;count_2019;count_2020;count_2021;count_2022;count_2023
0;Pasture;6383;8060;7771;10701;8211;8245;6150;3311;3311
1;Industrial;5636;9030;10211;9808;11693;9329;14207;13892;13892
2;SeaLake;4989;3898;5242;3909;4519;3911;3782;3565;3565
3;HerbaceousVegetation;870;1219;1249;2887;4388;3375;4181;6289;6289
4;PermanentCrop;23214;15797;16615;15420;15791;16222;17266;17850;17850
5;Forest;8605;9203;7361;3502;2141;5648;1226;1729;1729
6;Residential;2692;3931;3596;3639;4113;3709;4118;4493;4493
7;River;4251;5499;5809;7123;6195;6134;5490;5801;5801
8;AnnualCrop;5509;5295;4246;5038;5091;5533;5606;5037;5037
9;Highway;589;806;638;711;596;632;712;771;771
10;Total Agriculture (PC+P+AC);35106;29152;28632;31159;29093;30000;29022;26198;26198
