"Category","EU expenditure","CAP at % expenditure"
"1980",11.6,73.2
"1981",11.6,65.5
"1982",12.9,63.1
"1983",16.4,66.8
"1984",18.9,69.9
"1985",20.4,73.3
"1986",23,66.2
"1987",23.7,67.7
"1988",27.5,67.1
"1989",25.8,63.2
"1990",27.4,62.3
"1991",33.2,62
"1992",34.1,58.3
"1993",37.9,58.4
"1994",35.4,59.8
"1995",37,55.6
"1996",42.7,55.4
"1997",44,55.1
"1998",42.6,52.7
"1999",43.2,51.8
"2000",41.8,52
"2001",43.5,54
"2002",44.7,52.2
"2003",46.7,52.3
"2004",46.4,46.4
"2005",51.3,49.3
"2006",53,50.1
"2007",52.9,47.1
"2008",51.3,45.4
"2009",50,44.6
"2010",55.2,45.8
"2011",55.1,43.6
"2012",57.1,42.1
"2013",56.9,39.6
"2014",54,39
"2015",55.3,39.1
"2016",56.5,41.4
"2017",55.8,40.6
"2018",56.8,37.2
"2019",58.1,37.6
"2020",59.1,34.9
"2021",55.4,24.8
"2022",56.4,23.6
