Year,Member State,Region,Economic Size,Arable land (ha),Economic size N,Total Utilised Agricultural Area (ha)
2004,(IT) Italy,(221) Valle d'Aosta,(1) 2 000  < 8 000 EUR,3.45,6.300000000000002,3.91
2004,(IT) Italy,(221) Valle d'Aosta,(2) 8 000  < 25 000 EUR,13.75,15.0,17.43
2004,(IT) Italy,(221) Valle d'Aosta,(3) 25 000  < 50 000 EUR,61.59,36.0,88.72
2004,(IT) Italy,(221) Valle d'Aosta,(4) 50 000  < 100 000 EUR,160.33,66.7,176.96
2004,(IT) Italy,(222) Piemonte,(1) 2 000  < 8 000 EUR,3.59,6.800000000000002,4.49
2004,(IT) Italy,(222) Piemonte,(2) 8 000  < 25 000 EUR,6.35,16.0,8.790000000000001
2004,(IT) Italy,(222) Piemonte,(3) 25 000  < 50 000 EUR,13.62,35.8,16.71
2004,(IT) Italy,(222) Piemonte,(4) 50 000  < 100 000 EUR,25.19,68.2,30.46
2004,(IT) Italy,(222) Piemonte,(5) 100 000  < 500 000 EUR,53.84,211.3,63.31
2004,(IT) Italy,(222) Piemonte,(6) >= 500 000 EUR,109.89,1386.7,117.7
2004,(IT) Italy,(241) Trentino,(2) 8 000  < 25 000 EUR,0.34,15.9,2.1
2004,(IT) Italy,(241) Trentino,(3) 25 000  < 50 000 EUR,0.27,37.7,3.55
2004,(IT) Italy,(241) Trentino,(4) 50 000  < 100 000 EUR,1.29,72.3,8.76
2004,(IT) Italy,(241) Trentino,(5) 100 000  < 500 000 EUR,7.85,172.2,20.03
2004,(IT) Italy,(243) Veneto,(1) 2 000  < 8 000 EUR,3.39,6.300000000000002,3.75
2004,(IT) Italy,(243) Veneto,(2) 8 000  < 25 000 EUR,5.69,15.4,6.83
2004,(IT) Italy,(243) Veneto,(3) 25 000  < 50 000 EUR,11.04,35.2,13.33
2004,(IT) Italy,(243) Veneto,(4) 50 000  < 100 000 EUR,16.0,71.3,18.99
2004,(IT) Italy,(243) Veneto,(5) 100 000  < 500 000 EUR,34.45,199.9,40.88
2004,(IT) Italy,(243) Veneto,(6) >= 500 000 EUR,73.08,1689.8,82.91
2004,(IT) Italy,(242) Alto Adige,(2) 8 000  < 25 000 EUR,0.19,15.9,7.63
2004,(IT) Italy,(242) Alto Adige,(3) 25 000  < 50 000 EUR,0.08,35.2,7.09
2004,(IT) Italy,(242) Alto Adige,(4) 50 000  < 100 000 EUR,0.34,71.60000000000001,9.67
2004,(IT) Italy,(242) Alto Adige,(5) 100 000  < 500 000 EUR,0.51,174.6,8.34
2004,(IT) Italy,(230) Lombardia,(2) 8 000  < 25 000 EUR,7.24,16.5,9.47
2004,(IT) Italy,(230) Lombardia,(3) 25 000  < 50 000 EUR,15.96,34.8,17.66
2004,(IT) Italy,(230) Lombardia,(4) 50 000  < 100 000 EUR,22.76,71.4,27.5
2004,(IT) Italy,(230) Lombardia,(5) 100 000  < 500 000 EUR,44.17,213.4,49.16
2004,(IT) Italy,(230) Lombardia,(6) >= 500 000 EUR,91.16,1689.2,92.8
2004,(IT) Italy,(260) EmiliaRomagna,(1) 2 000  < 8 000 EUR,5.0,6.5,5.4
2004,(IT) Italy,(260) Emilia-Romagna,(2) 8 000  < 25 000 EUR,7.98,16.4,8.82
2004,(IT) Italy,(260) Emilia-Romagna,(3) 25 000  < 50 000 EUR,11.98,37.2,14.87
2004,(IT) Italy,(260) Emilia-Romagna,(4) 50 000  < 100 000 EUR,17.15,70.2,21.21
2004,(IT) Italy,(260) Emilia-Romagna,(5) 100 000  < 500 000 EUR,47.71,205.9,55.19
2004,(IT) Italy,(260) Emilia-Romagna,(6) >= 500 000 EUR,171.28,1796.3,183.32
2004,(IT) Italy,(270) Toscana,(1) 2 000  < 8 000 EUR,3.59,6.1,5.36
2004,(IT) Italy,(270) Toscana,(2) 8 000  < 25 000 EUR,8.56,15.9,11.95
2004,(IT) Italy,(270) Toscana,(3) 25 000  < 50 000 EUR,21.41,35.4,26.47
2004,(IT) Italy,(270) Toscana,(4) 50 000  < 100 000 EUR,41.39,71.60000000000001,46.91
2004,(IT) Italy,(270) Toscana,(5) 100 000  < 500 000 EUR,94.55,240.8,112.3
2004,(IT) Italy,(270) Toscana,(6) >= 500 000 EUR,150.8,1213.8,200.02
2004,(IT) Italy,(244) FriuliVenezia Giulia,(1) 2 000  < 8 000 EUR,4.91,6.1,5.22
2004,(IT) Italy,(244) Friuli-Venezia Giulia,(2) 8 000  < 25 000 EUR,8.38,15.9,9.85
2004,(IT) Italy,(244) Friuli-Venezia Giulia,(3) 25 000  < 50 000 EUR,11.14,36.2,14.68
2004,(IT) Italy,(244) Friuli-Venezia Giulia,(4) 50 000  < 100 000 EUR,24.75,72.60000000000001,30.68
2004,(IT) Italy,(244) Friuli-Venezia Giulia,(5) 100 000  < 500 000 EUR,43.38,226.5,51.98
2004,(IT) Italy,(244) Friuli-Venezia Giulia,(6) >= 500 000 EUR,39.36,1134.7,56.37
2004,(IT) Italy,(250) Liguria,(1) 2 000  < 8 000 EUR,1.62,6.6,2.7
2004,(IT) Italy,(250) Liguria,(2) 8 000  < 25 000 EUR,1.6,14.3,3.03
2004,(IT) Italy,(250) Liguria,(3) 25 000  < 50 000 EUR,1.29,36.3,2.4
2004,(IT) Italy,(250) Liguria,(4) 50 000  < 100 000 EUR,1.76,70.60000000000001,1.95
2004,(IT) Italy,(250) Liguria,(5) 100 000  < 500 000 EUR,17.18,188.8,17.48
2004,(IT) Italy,(282) Umbria,(1) 2 000  < 8 000 EUR,5.56,6.300000000000002,7.03
2004,(IT) Italy,(282) Umbria,(2) 8 000  < 25 000 EUR,10.45,15.4,13.01
2004,(IT) Italy,(282) Umbria,(3) 25 000  < 50 000 EUR,22.69,36.4,27.83
2004,(IT) Italy,(282) Umbria,(4) 50 000  < 100 000 EUR,43.03,73.0,51.52
2004,(IT) Italy,(282) Umbria,(5) 100 000  < 500 000 EUR,71.3,174.6,89.05
2004,(IT) Italy,(282) Umbria,(6) >= 500 000 EUR,72.42,1158.2,79.32000000000001
2004,(IT) Italy,(291) Lazio,(1) 2 000  < 8 000 EUR,3.08,7.0,4.88
2004,(IT) Italy,(291) Lazio,(2) 8 000  < 25 000 EUR,4.11,15.8,6.48
2004,(IT) Italy,(291) Lazio,(3) 25 000  < 50 000 EUR,7.31,35.4,10.5
2004,(IT) Italy,(291) Lazio,(4) 50 000  < 100 000 EUR,19.94,70.8,23.37
2004,(IT) Italy,(291) Lazio,(5) 100 000  < 500 000 EUR,70.21000000000001,192.6,72.77
2004,(IT) Italy,(291) Lazio,(6) >= 500 000 EUR,166.44,1096.3,166.74
